SubjectTag	SubjectID	SAMPLE_RACE	SAMPLE_SEX	ASVAB-8
65100	651	3	1	52
65200	652	3	2	52
65300	653	3	1	56
65400	654	3	2	52
65500	655	3	2	60
65600	656	3	2	68
65700	657	3	2	40
65800	658	3	1	-4
65900	659	3	1	48
66000	660	3	2	69
66100	661	3	2	48
66200	662	3	2	44
66300	663	3	1	34
66400	664	3	2	60
66500	665	3	2	55
66600	666	3	1	6
66700	667	3	1	56
66800	668	3	2	48
66900	669	3	1	43
67000	670	3	2	44
67100	671	2	1	57
67200	672	2	1	35
67300	673	2	1	-4
67400	674	2	1	27
67500	675	2	1	17
67600	676	2	1	29
67700	677	2	2	54
67800	678	2	1	22
67900	679	2	1	23
68000	680	2	2	39
68100	681	2	1	27
68200	682	2	2	47
68300	683	2	2	52
68400	684	3	1	37
68500	685	3	1	28
68600	686	3	1	54
68700	687	3	1	54
68800	688	3	2	40
68900	689	3	2	44
69000	690	3	1	51
69100	691	3	2	54
69200	692	3	2	49
69300	693	3	1	-4
69400	694	3	2	-4
69500	695	3	1	-4
69600	696	3	2	-4
69700	697	3	1	33
69800	698	3	2	20
69900	699	3	2	23
70000	700	3	1	16
70100	701	3	1	28
70200	702	3	1	33
70300	703	3	2	52
70400	704	3	2	47
70500	705	3	1	46
70600	706	3	2	44
70700	707	3	1	44
70800	708	3	2	34
70900	709	3	1	45
71000	710	3	1	55
71100	711	3	1	66
71200	712	3	2	71
71300	713	3	2	43
71400	714	3	1	23
71500	715	3	1	46
71600	716	3	1	15
71700	717	3	1	46
71800	718	3	1	43
71900	719	3	1	32
72000	720	3	2	52
72100	721	3	2	26
72200	722	3	1	48
72300	723	3	2	55
72400	724	3	2	12
72500	725	3	1	58
72600	726	3	2	-4
72700	727	3	1	-4
72800	728	3	1	31
72900	729	3	1	63
73000	730	3	1	60
73100	731	3	1	48
73200	732	3	1	49
73300	733	3	2	57
73400	734	1	2	16
73500	735	3	1	42
73600	736	3	2	51
73700	737	3	1	14
73800	738	3	1	27
73900	739	3	2	48
74000	740	3	2	52
74100	741	3	1	48
74200	742	3	1	58
74300	743	3	2	58
74400	744	2	2	22
74500	745	2	2	51
74600	746	3	2	67
74700	747	3	1	44
74800	748	3	2	54
74900	749	3	1	23
75000	750	3	1	12
75100	751	3	1	47
75200	752	3	2	55
75300	753	2	1	39
75400	754	2	1	13
75500	755	1	2	66
75600	756	1	2	53
75700	757	2	2	29
75800	758	2	2	54
75900	759	2	2	46
76000	760	2	1	28
76100	761	3	2	40
76200	762	1	1	38
76300	763	1	1	33
76400	764	1	2	56
76500	765	1	1	45
76600	766	3	1	53
76700	767	3	1	13
76800	768	3	2	79
76900	769	3	1	45
77000	770	3	2	39
77100	771	3	1	-4
77200	772	3	1	36
77300	773	3	1	-4
77400	774	3	1	41
77500	775	3	2	66
77600	776	3	1	58
77700	777	3	1	56
77800	778	3	1	39
77900	779	3	2	40
78000	780	3	1	-4
78100	781	3	2	-4
78200	782	1	1	37
78300	783	1	2	61
78400	784	1	1	37
78500	785	3	2	62
78600	786	3	1	25
78700	787	3	2	58
78800	788	3	2	73
78900	789	3	2	68
79000	790	3	2	50
79100	791	3	1	39
79200	792	3	2	43
79300	793	3	1	60
79400	794	3	1	69
79500	795	3	1	35
79600	796	3	1	62
79700	797	3	1	19
79800	798	3	2	21
79900	799	3	1	33
80000	800	3	1	28
80100	801	3	2	42
80200	802	3	1	39
80300	803	3	2	42
80400	804	3	2	38
80500	805	3	2	32
80600	806	3	1	38
80700	807	3	1	53
80800	808	3	2	66
80900	809	3	1	61
81000	810	3	2	75
81100	811	3	2	49
81200	812	3	2	54
81300	813	3	1	58
81400	814	3	2	62
81500	815	3	1	44
81600	816	3	2	73
81700	817	3	1	47
81800	818	3	1	43
81900	819	3	1	37
82000	820	3	2	47
82100	821	3	2	60
82200	822	3	1	-4
82300	823	3	1	69
82400	824	3	2	45
82500	825	3	1	50
82600	826	3	1	27
82700	827	3	1	49
82800	828	3	2	22
82900	829	3	2	51
83000	830	2	2	33
83100	831	2	2	31
83200	832	2	1	37
83300	833	2	1	22
83400	834	2	2	49
83500	835	2	2	42
83600	836	1	2	45
83700	837	2	1	29
83800	838	1	1	48
83900	839	2	2	20
84000	840	2	2	12
84100	841	3	2	53
84200	842	3	2	44
84300	843	3	2	50
84400	844	3	1	36
84500	845	3	2	36
84600	846	3	2	52
84700	847	2	1	36
84800	848	3	2	22
84900	849	3	2	30
85000	850	3	1	54
85100	851	3	1	52
85200	852	3	2	55
85300	853	3	1	61
85400	854	3	2	35
85500	855	3	2	84
85600	856	3	2	51
85700	857	3	2	80
85800	858	3	2	14
85900	859	3	1	12
86000	860	3	1	48
86100	861	3	2	40
86200	862	3	2	46
86300	863	3	1	61
86400	864	3	1	70
86500	865	3	1	67
86600	866	3	2	41
86700	867	3	2	52
86800	868	3	1	60
86900	869	3	2	37
87000	870	3	1	12
87100	871	3	1	55
87200	872	3	1	72
87300	873	3	1	56
87400	874	3	1	54
87500	875	3	2	44
87600	876	3	2	65
87700	877	3	1	-4
87800	878	3	2	46
87900	879	3	2	44
88000	880	3	2	-4
88100	881	3	1	58
88200	882	3	1	59
88300	883	3	2	41
88400	884	3	2	70
88500	885	3	1	24
88600	886	3	2	55
88700	887	3	2	47
88800	888	3	1	45
88900	889	3	2	36
89000	890	3	1	67
89100	891	3	1	53
89200	892	3	2	49
89300	893	3	2	73
89400	894	3	2	-4
89500	895	3	2	61
89600	896	3	2	70
89700	897	3	2	63
89800	898	3	2	52
89900	899	3	1	47
90000	900	3	2	77
90100	901	3	2	63
90200	902	3	1	42
90300	903	3	1	-4
90400	904	3	2	48
90500	905	3	2	56
90600	906	3	2	58
90700	907	3	1	43
90800	908	3	1	46
90900	909	3	2	56
91000	910	2	1	66
91100	911	2	1	16
91200	912	3	2	70
91300	913	3	1	41
91400	914	1	2	50
91500	915	1	2	51
91600	916	3	1	68
91700	917	3	1	53
91800	918	3	2	44
91900	919	3	1	25
92000	920	3	1	65
92100	921	3	1	24
92200	922	3	1	37
92300	923	3	2	62
92400	924	3	1	67
92500	925	3	1	59
92600	926	3	2	56
92700	927	3	1	74
92800	928	3	2	39
92900	929	3	1	33
93000	930	1	2	11
93100	931	3	1	45
93200	932	3	2	31
93300	933	3	1	39
93400	934	3	1	-4
93500	935	3	2	59
93600	936	3	2	83
93700	937	3	1	71
93800	938	3	1	22
93900	939	3	2	55
94000	940	3	2	46
94100	941	3	1	53
94200	942	3	2	71
94300	943	3	2	54
94400	944	3	1	80
94500	945	3	1	46
